track_name,track_id,album_name,album_id,album_release_date,popularity,artist_names,artist_ids
No Mercy,5vdsRp6ExGxmfuJ2cG5Kqx,No Mercy,0ig0cN50Yv63nJs0O0LyZo,2023-02-16,61,"Dhanda Nyoliwala, Desi Melbourniye","2rN8LHqK4TBI7y3d9POvJb, 3ZDK52wRO5QRwoW3QyyRfH"
Matak Chalungi,1Gm2FrZ7U1zu83mg7PQ2mY,Matak Chalungi,5VLHy4ZCKZlstjfQRCTKQX,2023-11-19,63,"Raj Mawar, Manisha Sharma, Aman Jaji, Sapna Choudhary","0481f4CMOOSlFB69C2wyZf, 0zVGGSBVti6Dx67hJstvSf, 3VJGHT0QL4RFU1DVpinyo3, 5WYVZzKOZMUn4pNY9gy2BM"
Bholenath,2Barglt2bvpZB4LKQPMryw,Bholenath,4fyRlxUWaepm2SG7MLQOcW,2018-12-07,55,"Sumit Goswami, Kaka","7h79JnwJEjrnCCyGrxTdZM, 3CWP6fXUDZPG72CAiEOBTy"
Desi Hood,1ytkL95GzG5FfFHozezQFx,Desi Hood,36B93HW3IYVWNVZH0qPaCR,2024-03-01,66,Krish Rao,0iwEynjG3vgrTK0dj5QHxl
1985 - Intro to “The Fall Off”,7EulRO07ZgchxqKUHb8Pvc,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,60,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
Window Pain - Outro,5Lgqu1th1KqlG97OF2gWGe,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,55,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
FRIENDS (feat. kiLL edward),6onwlDmIVKE8bBgyBRSuS0,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,54,"J. Cole, kiLL edward","6l3HvQ5sa6mXTsMTB19rO5, 3EWxytcxaM0tksU6v3je2Q"
Once an Addict - Interlude,0Px86mRlxdB3YqpK6KXWlr,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,54,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
BRACKETS,5sWbwccBcyHsg5LEKWGZo9,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,54,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
Motiv8,1AT4xjNarTswd0UZ5FlmKF,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,57,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
ATM,2UciqgwVDwro0fev3MFbxJ,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,60,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
The Cut Off (feat. kiLL edward),3rFF7kSm5qBOOPs6ljFgPp,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,56,"J. Cole, kiLL edward","6l3HvQ5sa6mXTsMTB19rO5, 3EWxytcxaM0tksU6v3je2Q"
Photograph,0bhnUFDQFCEHCBlsQfHnj5,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,57,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
KOD,7yotKA30dwTKNEGomV9ZsI,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,62,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
